iter	Passed	Remaining
962	4496	172
963	4500	168
964	4504	163
965	4508	158
966	4514	154
967	4519	149
968	4524	144
969	4529	140
970	4534	135
971	4540	130
972	4545	126
973	4550	121
974	4555	116
975	4560	112
976	4565	107
977	4571	102
978	4577	98
979	4583	93
980	4589	88
981	4595	84
982	4600	79
983	4605	74
984	4610	70
985	4617	65
986	4622	60
987	4628	56
988	4634	51
989	4639	46
990	4644	42
991	4650	37
992	4654	32
993	4658	28
994	4663	23
995	4667	18
996	4671	14
997	4676	9
998	4680	4
999	4684	0
